Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Balck, Angelika ;1972;85;Heilpraktikerin i. A.;2;RENTNER;HH;3;
Balck, Dieter ;1941;95;Verkaufsleiter i. R.;1;RENTNER;HH;2;
Baldes, Franziska ;1969;83;Sängerin;2;MLPD;HH;3;
Balg, Torsten ;1971;60;Ingenieur;1;ÖDP;RP;24;
Balke, Dr. Michael ;1954;81;Finanzrichter;1;AfD;NW;2;
Balke, Michael ;1967;95;Rentner;1;PIRATEN;;   ;169
Ballerstädt, Kay-Olaf ;1980;88;Wissenschaftlicher Angestellter;1;FREIE WÄHLER;BW;25;274
Bambach, Rüdiger Horst ;1939;95;Rentner;1;FDP;HH;10;
Bank, Dr. Sabine ;1954;84;Fachärztin für Allgemeinmedizin;2;FREIE WÄHLER;MV;7;12
Bannert, Markus ;1976;82;Archivar;1;DIE LINKE;;   ;214
Bannert, Stefan ;1966;29;Werkzeugmacher;1;DIE LINKE;;   ;248
Bante, Bernd ;1964;61;Diplom-Physiker;1;SPD;BY;41;253
Bär, Dorothee ;1978;76;MdB, Diplom-Politologin;2;CSU;BY;6;248
Bär, Karl ;1985;1;Agrarökonom;1;GRÜNE;BY;14;224
Barbas, Dr. Helena ;1978;61;Diplom-Mathematikerin;2;Die PARTEI;BE;1;83
Barboucha, Ahmed ;1964;78;Angestellter;1;BIG;NW;11;
Barchmann, Heinz-Joachim ;1950;76;Gewerkschaftssekretär;1;SPD;NI;19;51
Bard, Dennis ;1983;78;Kaufmann für Bürokommunikation;1;DIE LINKE;;   ;298
Bareiß, Thomas ;1975;76;Mitglied des Deutschen Bundestages;1;CDU;;   ;295
Barenhoff, Markus ;1980;77;Selbstständiger Softwareentwickler;1;PIRATEN;NW;8;
Barimis, Michel ;1987;41;Koch;1;MLPD;BY;11;
Bärisch, Andreas ;1981;83;Medientechnologe-Druck;1;PIRATEN;;   ;155
Barkauskas, Constantin ;1980;75;Senior-Controler;1;REP;BY;46;
Barley, Dr. Katarina ;1968;81;Juristin;2;SPD;RP;7;204
Barnett, Doris ;1953;7;MdB, Juristin;2;SPD;RP;5;208
Barschdorf, Dr. Jens Uwe ;1982;81;Patentreferent;1;FDP;BY;13;215
Bartels, Dr. Hans-Peter ;1961;78;Angestellter;1;SPD;SH;7;5
Bartelt, Christian ;1976;84;Zahnarzt;1;FDP;MV;4;16
Barth, Cornelia ;1958;86;Diplom-Sozialarbeiterin;2;DIE LINKE;HB;5;
Barth, Volker ;1962;80;Offizier der Bundeswehr;1;CDU;BW;44;
Barthel, Klaus ;1955;76;Mitglied des Deutschen Bundestages;1;SPD;BY;5;224
Barthle, Norbert ;1952;76;Mitglied des Deutschen Bundestages;1;CDU;;   ;269
Bartholome, Anna ;1949;82;Journalistin;2;MLPD;RP;3;
Bartke, Dr. Matthias ;1959;81;Jurist;1;SPD;;   ;19
Bartl, Franziska Andrea ;1985;87;Dozentin;2;SPD;BY;45;
Bartol, Sören ;1974;88;Diplom-Politologe;1;SPD;HE;7;171
Bartsch, Dr. Dietmar Gerhard ;1958;76;Mitglied des Deutschen Bundestages;1;DIE LINKE;MV;1;12
Bartsch, Martin ;1971;77;Freiberuflicher Softwareentwickler;1;PIRATEN;BW;13;271
Bartsch, Thomas ;1960;28;Fluggerätemechaniker;1;DIE LINKE;;   ;28
Bartz, Julia ;1984;76;Referentin;2;CSU;BY;39;
Barutta, Bernhard Heinrich ;1961;75;Leitender Angestellter;1;AfD;HE;16;
Barz, Monika ;1953;87;Professorin;2;GRÜNE;BW;37;
Bas, Bärbel ;1968;76;Mitglied des Deutschen Bundestages;2;SPD;NW;30;115
Basibüyück, Aslan ;1976;78;Angestellter;1;AfD;RP;4;
Bastian, Anke ;1967;87;Diplom-Sportlehrerin;2;FREIE WÄHLER;NI;2;49
Bastian, Dr. Uwe ;1957;88;Soziologe;1;PIRATEN;MV;3;16
Bastian, Endrik ;1964;85;Krankenpfleger;1;PSG;BE;4;
Bastian, Thorsten Winfried ;1972;78;Postbeamter;1;AfD;SH;15;
Bätge, Carsten ;1967;75;Prozessmanager;1;PIRATEN;NI;15;
Bäther, Heiner ;1969;5;Gartenbautechniker;1;DIE LINKE;NW;19;
Battke, Lutz ;1958;80;Schornsteinfegermeister;1;NPD;ST;3;
Bätzing-Lichtenthäler, Sabine ;1975;76;MdB, Diplom-Verwaltungswirtin (FH);2;SPD;RP;3;198
Bauer, Adolf ;1934;27;Maschinenbauer;1;REP;BY;36;
Bauer, Alexander ;1968;80;Kriminalhauptkommissar;1;SPD;BW;36;264
Bauer, Anna Sophia ;1989;94;Studentin;2;Die PARTEI;BE;3;230
Bauer, Anneliese ;1924;92;Hauswirtschafterin;2;Volksabstimmung;BW;4;
Bauer, Carmelito Robert Josef ;1994;94;Student;1;PIRATEN;HE;8;
Bauer, Emil Karl Ekkehard ;1953;60;Bauingenieur;1;MLPD;BY;7;252
Bauer, Rainer ;1950;78;Angestellte;1;REP;BE;2;
Bauer, Robert Karlheinz ;1971;86;Altenpfleger;1;PIRATEN;HB;3;54
Bauer, Robert Siegfried ;1964;75;Unternehmer;1;BP;BY;10;
Bauer, Stefan ;1964;60;Wirtschaftsingenieur;1;Anderer KWV;;   ;223
Bäuerle, Peter ;1951;61;Diplom-Mathematiker;1;MLPD;BW;11;260
Bauersfeld, Martin Gerhard ;1950;72;Pilot;1;Anderer KWV;;   ;72
Baumann, Anna Elisabeth ;1961;75;Steuergehilfin;2;DIE VIOLETTEN;BY;35;
Baumann, Helmut Günter ;1947;76;Mitglied des Deutschen Bundestages;1;CDU;;   ;164
Baumann, Kai ;1972;77;Anwendungsentwickler;1;PIRATEN;;   ;88
Baumann, Natascha Colette ;1977;88;Diplom-Betriebswirtin;2;FDP;HE;15;177
Baumann, Otto ;1947;81;Rechtsanwalt;1;AfD;HE;11;
Baumbach, Barbara ;1960;76;Oberrechnungsrätin;2;CDU;BE;11;
Baumelt, Lothar ;1951;95;Briefzusteller a. D.;1;Anderer KWV;;   ;52
Baumgardt, Martin Patrick ;1966;95;Rentner;1;NPD;;   ;182
Baumgartner, Roman ;1982;76;Diplom-Verwaltungswirt (FH);1;CDU;BW;21;
Baur, Dieter ;1953;80;Erster Polizeihauptkommissar;1;ÖDP;BW;4;258
Baur, Jens ;1979;76;Referent;1;NPD;SN;4;160
Bayaz, Danyal ;1983;75;Unternehmensberater;1;GRÜNE;BW;14;272
Bäz-Dölle, Uwe ;1966;25;Stahlbauschlosser;1;NPD;TH;6;196
Bazi, Karel ;1948;69;Bankkaufmann;1;MLPD;HH;5;
Bech, Tamas Antal ;1954;86;Altenpfleger;1;BüSo;;   ;93
