Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Leder, Dr. Gerhard ;1962;84;Arzt;1;AfD;NW;14;
Lederer, Dr. Klaus ;1974;81;Rechtsanwalt;1;DIE LINKE;;   ;75
Lee van der, Felix ;1990;98;Auszubildender Kaufmann für Spedition und Logistikdienstleistungen;1;NPD;;   ;87
Lehmann, Regina ;1953;78;Kaufmännische Angestellte;2;FREIE WÄHLER;BB;8;
Lehnen, Therese ;1963;81;Rechtsfachwirtin;2;PIRATEN;;   ;75
Lehnert, Ruben ;1978;82;Redakteur;1;DIE LINKE;;   ;82
Lehnhardt, Heiko ;1974;79;Werkschutzfachkraft;1;pro Deutschland;MV;1;
Lehrieder, Paul Alois ;1959;76;MdB, Rechtsanwalt;1;CSU;BY;24;251
Leibig, Michael ;1963;62;Medizintechniker;1;CDU;SL;10;
Leidecker, Jörn Jan ;1977;88;Historiker;1;DIE LINKE;;   ;42
Leidig, Sabine Ingeborg ;1961;75;Geschäftsführerin;2;DIE LINKE;HE;1;180
Leidig, Tobias ;1991;94;Student;1;Die PARTEI;BE;47;
Leidreiter, Piet Stefan ;1965;75;Leitender Angestellter;1;AfD;HB;2;
Leikert, Dr. Katja Isabel ;1975;88;Politikwissenschaftlerin;2;CDU;HE;14;180
Leiminer, Friedrich Albert ;1948;84;Apotheker;1;DIE VIOLETTEN;;   ;213
Leinen, Prof. Dr. Felix ;1957;61;Diplom-Mathematiker;1;ÖDP;RP;8;
Leise, Fred ;1965;71;Kraftfahrer;1;FDP;;   ;190
Leißner, Dirk ;1970;60;Diplom-Bauingenieur (FH);1;FREIE WÄHLER;ST;14;
Lembcke, Birka Bettina ;1961;60;Konstrukteurin für Maschinenbau;2;CDU;SH;20;
Lemke, Helmut ;1942;95;Rentner;1;RENTNER;SH;1;5
Lemke, Michael ;1968;78;Kaufmännischer Angestellter;1;GRÜNE;NI;16;30
Lemke, Steffi ;1968;3;Diplom-Agrar-Ingenieurin;2;GRÜNE;ST;1;70
Lemme, Steffen-Claudio ;1965;78;Betriebswirt (VWA);1;SPD;TH;3;191
Lengerich van, Holger ;1972;78;Angestellter;1;PIRATEN;BY;16;219
Lengsfeld, Philipp David ;1972;61;Physiker, wissenschaftlicher Mitarbeiter;1;CDU;BE;8;75
Lenkert, Ralph ;1967;76;MdB, Werkzeugmacher, staatl. gepr. Maschinenbautechniker;1;DIE LINKE;TH;2;194
Lenz, Dr. Andreas ;1981;88;Diplom-Betriebswirt (FH);1;CSU;BY;28;214
Lenz, Karl-Heinz ;1953;82;Schriftsteller;1;AfD;SH;17;
Lenz, Ronny ;1985;77;IT-Berater;1;AfD;ST;14;
Lenze, Enno ;1982;68;Verleger;1;PIRATEN;BE;8;
Lenzen, Charlotte ;1956;78;Bürokauffrau;2;DIE LINKE;;   ;25
Lenzen, Katharina ;1965;95;Hausfrau;2;PIRATEN;;   ;89
Leonhard, Dr. Melanie ;1977;88;Historikerin;2;SPD;HH;7;
Leonhard, Gino ;1972;78;Verwaltungsbeamter;1;FDP;MV;5;15
Leopold, Lars ;1977;67;Kaufmann im Groß- und Einzelhandel;1;DIE LINKE;NI;8;48
Leopold, Sabine ;1958;87;Erzieherin;2;MLPD;NW;11;
Leppkes, Tobias ;1983;77;Informatiker (B. ICT);1;PIRATEN;;   ;111
Lerchenfeld Graf von und zu, Philipp ;1952;76;MdL, Landwirt;1;CSU;BY;29;233
Leschowski, Frank ;1968;67;Selbständiger Kaufmann;1;FDP;NW;59;141
Leucht, Maximilian Benjamin ;1979;75;Steuerberater;1;PARTEI DER VERNUNFT;BY;4;222
Leue-Köruglu, Christiane ;1977;78;Kaufmännische Angestellte;2;BIG;NW;3;
Leutert, Michael Gerhard ;1974;76;MdB, Diplom-Soziologe;1;DIE LINKE;SN;8;162
Leutheusser-Schnarrenberger, Sabine ;1951;76;MdB, Bundesjustizministerin;2;FDP;BY;1;224
Leutner, Gerd ;1958;99;selbstständig;1;Bündnis 21/RRP;BY;9;
Levante, Dr. Tilo ;1962;77;Diplom-Informatiker;1;FDP;BW;30;282
Lewis, Christopher Gene ;1945;83;Fotograf;1;BüSo;HE;3;
Leyen von der, Dr. Ursula ;1958;76;Ärztin, Bundesministerin;2;CDU;NI;1;42
Lezius, Antje ;1960;75;Selbstständige Unternehmensberaterin;2;CDU;RP;12;202
Lichdi, Johannes ;1964;81;Rechtsanwalt;1;GRÜNE;SN;4;155
Licht, Hans-Jürgen ;1972;78;Verwaltungsfachangestellter;1;SPD;NI;57;
Lieb, Robert ;1963;29;Schneidwerkzeugmechaniker;1;REP;BY;12;
Liebe, Luda A. ;1952;75;Unternehmerin;2;FREIE WÄHLER;;   ;204
Liebenow, Fritz Kurt ;1949;40;Fleischermeister;1;NPD;BE;7;85
Liebhardt, Bernd Wolfgang ;1977;81;Rechtsanwalt;1;CSU;BY;66;
Liebich, Stefan ;1972;76;MdB, Diplom-Betriebswirt (FH);1;DIE LINKE;BE;4;76
Liebing, Ingbert ;1963;76;MdB, Bürgermeister a.D.;1;CDU;SH;5;2
Liebl, Georg ;1947;75;Rentner;1;DIE LINKE;BY;16;249
Liebram, Sebastian ;1990;80;Soldat auf Zeit;1;FDP;HH;3;
Liedgens, Andre ;1971;31;Elektroinstallateur;1;PARTEI DER VERNUNFT;NW;5;
Liehr, Heinz ;1975;78;Angestellter Bundesagentur für Arbeit;1;FDP;BY;18;254
Lierse, Lore ;1955;67;Zoofachhändlerin;2;NPD;BB;6;59
Liesendahl, Anna-Verena ;1988;91;Hotelfachfrau;2;pro Deutschland;BE;2;
Liesendahl, Ursula ;1959;95;Hausfrau;2;pro Deutschland;ST;2;
Lietz, Arne ;1976;88;Historiker;1;SPD;ST;7;70
Lietz, Matthias ;1953;76;MdB, Betriebsschlosser;1;CDU;MV;3;16
Lill, Karen ;1958;78;Angestellte, Diplom-Ökonomin;2;FDP;RP;26;
Lillge, Dr. Wolfgang ;1950;84;Arzt;1;BüSo;BE;3;81
Linde, Marc ;1986;94;Student;1;REP;BB;2;
Lindemann, David ;1977;81;Jurist;1;SPD;;   ;299
Lindemann, Lars Friedrich ;1971;76;MdB, Rechtsanwalt;1;FDP;BE;2;80
Lindemann, Thomas ;1980;27;Diplom-Ingenieur Maschinenbau;1;NPD;ST;8;70
Linden, Andre ;1969;84;Arzt;1;AfD;HE;14;
Lindenberg, Nadine ;1983;94;Studierende der Medieninformatik;2;PIRATEN;;   ;1
Lindenblatt, Gerd ;1945;95;Pensionär;1;PIRATEN;;   ;77
Lindholz, Andrea ;1970;81;Rechtsanwältin;2;CSU;BY;20;247
Lindlacher, Franz ;1954;86;Diplom-Sozialpädagoge;1;DIE LINKE;;   ;225
Lindner, Dr. Frank Martin ;1964;76;MdB, Rechtsanwalt;1;FDP;BE;1;79
Lindner, Dr. Tobias ;1982;76;MdB, Wirtschaftswissenschaftler;1;GRÜNE;RP;2;212
Lindner, Edeltraud ;1943;78;Bürokauffrau;2;Volksabstimmung;NW;7;
Lindner, Sebastian ;1986;94;Student;1;SPD;HE;43;
Link, Christiana ;1958;78;Bürohilfe;2;MLPD;NW;10;
Link, Dr. Manfred ;1941;95;Rentner;1;Bündnis 21/RRP;BY;1;253
Link, Maria ;1947;95;Rentnerin;2;Bündnis 21/RRP;BY;10;
Link, Michael Georg ;1963;76;Mitglied des Deutschen Bundestages;1;FDP;BW;4;267
Linnemann, Dr. Carsten ;1977;76;MdB, Diplom-Volkswirt;1;CDU;;   ;137
Linnert, Patrick ;1985;77;Softwareentwickler;1;PIRATEN;BY;5;245
Lips, Patricia ;1963;67;Handelsfachwirtin;2;CDU;HE;11;187
Lischka, Burkhard ;1965;76;Mitglied des Deutschen Bundestages;1;SPD;ST;1;69
Listemann, Carmen ;1961;60;Diplom-Ingenieurin;2;SPD;TH;6;189
Lister, Manfred ;1960;78;Kaufmännischer Angestellter;1;FDP;HE;17;169
Löbe, Jörg ;1962;69;unabhängiger Vermögensberater;1;FDP;;   ;115
Lockfisch, Klemens ;1961;67;Einzelhandelskaufmann;1;NPD;;   ;265
Loesch, Martin Werner Otto ;1945;95;Rentner;1;pro Deutschland;MV;2;
Lohmann, Dr. Niels ;1981;88;Wissenschaftlicher Mitarbeiter;1;PIRATEN;MV;2;
Lohmeyer, Johannes Hubertus ;1964;75;Geschäftsführer;1;FDP;;   ;159
Lohnes, Stefanie ;1973;88;Diplom- Sozialpädagogin;2;DIE LINKE;HE;7;
Löhr, Marlene ;1985;88;Europawissenschaftlerin;2;GRÜNE;SH;5;1
Lokar, Christiane ;1972;83;Grafik-Designerin;2;Die PARTEI;BE;9;
Lommer, Dr. Sebastian ;1973;81;Rechtsanwalt;1;FDP;BY;34;227
Löning, Alice Magdalena ;1951;78;Kauffrau;2;FDP;BB;5;62
Loos, Bernhard ;1955;75;Geschäftsführer;1;CSU;BY;59;
Loos, Dr. Dorit ;1944;95;Professorin i.R.;2;CDU;BW;54;
Loosz, Hans Detlef ;1953;95;Gewerkschaftssekretär i.R.;1;SPD;NW;43;88
Löpke, Roland Willi ;1955;78;Kaufmann;1;PIRATEN;;   ;139
Lorch, Gotthilf ;1961;86;Diplom-Sozialarbeiter (FH);1;DIE LINKE;;   ;286
Lörcher, Karl ;1961;60;Bauingenieur;1;ÖDP;BW;27;
Lörcher, Wolfgang ;1963;78;Angestellter;1;DIE LINKE;;   ;174
Lorenz, Christopher ;1968;99;Selbständig;1;Die PARTEI;BE;20;
Lorenz, Dr. Martin ;1977;84;Hautarzt;1;SPD;RP;32;
Lorenz, Joseph ;1941;1;Landwirt;1;REP;BY;50;
Lorenz, Wilfried ;1942;78;Kaufmann;1;CDU;NI;28;41
Lorenzen, Florian ;1986;1;Agrarbetriebswirt;1;CDU;SH;16;
Lösekrug-Möller, Gabriele ;1951;76;MdB;2;SPD;NI;2;46
Löser, Julia Erika Gudrun ;1991;94;Schülerin;2;FREIE WÄHLER;;   ;74
Lotarewicz, Bartosz Jerzy ;1982;94;Student;1;GRÜNE;;   ;86
Lotze, Hiltrud ;1958;88;Kulturwissenschaftlerin;2;SPD;NI;20;37
Lötzsch, Dr. Gesine ;1961;76;MdB, Philologin;2;DIE LINKE;BE;3;86
Louwers, Marcel ;1981;94;Student;1;PIRATEN;SH;5;
Löw, Jens ;1962;6;Diplom-Ingenieur Forst (FH);1;SPD;BW;23;286
Lübbers, Henning ;1988;64;Bauzeichner;1;PIRATEN;;   ;68
Lübcke, Silvia ;1961;70;Schaustellerin;2;CDU;NI;35;
Lubitz, Holger ;1971;77;Diplom-Informatiker;1;PIRATEN;;   ;27
Lück, Gisela ;1953;78;Kaufmänische Angestellte;2;NPD;;   ;169
Lucke, Dr. Bernd ;1962;87;Hochschullehrer, Professsor;1;AfD;NI;1;36
Lücke, Matthias ;1972;88;Diplom-Betriebswirt (BA);1;AfD;BW;26;
Luckert, Martin Thomas ;1988;88;Politikwissenschaftler;1;SPD;TH;12;
Lücking-Michel, Dr. Claudia Maria ;1962;76;Generalsekretärin;2;CDU;NW;28;96
Luczak, Dr. Jan-Marco ;1975;76;MdB, Rechtsanwalt;1;CDU;BE;5;81
Lüdecke, Sebastian ;1987;94;Student;1;GRÜNE;ST;4;
Ludemann, Dr. Peter ;1946;75;Unternehmensberater;1;FDP;NW;46;100
Ludewig, Bianca ;1971;99;Apokalypse-Expertin;2;Die PARTEI;BE;30;
Ludewig, Dr. Hans-Peter ;1946;95;Rentner;1;GRÜNE;;   ;35
Lüdtke-Reißmann, Jan ;1969;78;Beamter;1;PIRATEN;BW;10;262
Ludwig, Arne ;1968;75;Unternehmer;1;PIRATEN;NI;10;
Ludwig, Dagmar Anita ;1940;85;Heilpraktikerin;2;Bündnis 21/RRP;NW;1;142
Ludwig, Daniela ;1975;76;MdB, Diplom-Juristin (Univ.);2;CSU;BY;15;223
Luetkens, Sascha ;1976;78;Angestellter;1;DIE LINKE;SH;4;
Lugert, Barbara ;1978;75;Marketingmanagerin;2;SPD;BY;47;
Lühmann, Kirsten ;1964;80;Polizeibeamtin;2;SPD;NI;14;44
Luhr, Heinrich ;1953;60;Diplom-Ingenieur Elektrotechnik;1;FREIE WÄHLER;;   ;32
Lukas, Gerald ;1943;95;Rentner;1;Bündnis 21/RRP;;   ;29
Lukat, Jürgen ;1970;86;Diplom-Sozialarbeiter;1;Die PARTEI;NW;16;119
Lükensmeier, Ralf ;1963;78;Wirtschaftsfachwirt;1;Anderer KWV;;   ;25
Luksic, Oliver ;1979;76;Mitglied des deutschen Bundestages;1;FDP;SL;1;298
Lüle, Oguz ;1960;78;Kaufmann;1;DIE LINKE;;   ;219
Lüpke, Mario ;1979;51;Maler;1;MLPD;ST;4;
Lüsgens, Wolfgang ;1946;95;Rentner;1;REP;NW;12;
Lüst, Christiane Gisela Erika ;1966;86;Diplom-Sozialpädagogin;2;ÖDP;BY;4;222
Lust, Dietmar ;1972;62;Selbständiger Maschinenbautechniker;1;GRÜNE;BW;36;280
Lütge, Holger ;1969;75;Unternehmer;1;GRÜNE;;   ;77
Lüttgen, Markus ;1968;78;Kaufmann;1;PARTEI DER VERNUNFT;NW;8;
Lüttmann, Christophe ;1966;75;Finanzberater;1;FDP;NW;54;128
Lutze, Thomas ;1969;27;Maschinenbauer, Bürokaufmann;1;DIE LINKE;SL;1;
Lützler, Jan ;1994;94;Schüler;1;Die PARTEI;NW;12;
Lux, Gudrun ;1980;88;Politikwissenschaftlerin;2;GRÜNE;BY;17;
Lux, Stefan ;1959;88;Historiker;1;NPD;BE;6;
Lux, Stefan ;1960;75;Betriebsleiter;1;SPD;HE;25;177
Lyncker-Ehrenkrook Freiherr von, Konrad ;1986;88;Wissenschaftlicher Mitarbeiter;1;AfD;HH;3;
Maag, Karin ;1962;76;Mitglied des Deutschen Bundestages;2;CDU;BW;9;259
Maas, Ulrich ;1962;27;Industriemechaniker;1;Die PARTEI;NW;50;
Maaß, Simone ;1967;76;Referentin;2;GRÜNE;;   ;197
Macit, Burak ;1990;67;Einzelhandelskaufmann;1;FREIE WÄHLER;;   ;79
Mack, Günther ;1949;87;Lehrer;1;FREIE WÄHLER;RP;16;
Mack, Hermann ;1953;90;Medizinischer Fußpfleger;1;REP;BY;8;
Magar, Axel ;1954;60;Diplom-Wirtschaftsingenieur;1;PARTEI DER VERNUNFT;;   ;298
Maggutiak, Taras ;1973;82;Freier Journalist;1;AfD;BW;27;
Magwas, Yvonne ;1979;88;Diplom-Soziologin;2;CDU;SN;12;
Mahlberg, Thomas ;1965;78;Kaufmännischer Angestellter;1;CDU;NW;38;115
Mahn-Gauseweg, Carolin ;1981;60;Sicherheitsingenieur, Schienenfehrzeugtechnik;2;PIRATEN;SN;2;
Mai, Franz-Josef ;1943;60;Diplom-Ingenieur (FH);1;ÖDP;TH;4;
Mai, Hannelore Anna ;1943;85;Kinderkrankenschwester;2;ÖDP;TH;19;
Mai, Susann ;1967;85;Krankenschwester;2;ÖDP;TH;1;189
Maier, Dr. Lothar ;1944;87;Hochschullehrer;1;AfD;BW;12;
Maier, Edeltraud ;1938;95;Hausfrau;2;ÖDP;BW;23;
Maier, Franz ;1963;25;Schlosser;1;BüSo;BY;4;213
Maier, Ludwig ;1961;86;Heilerziehungspflegehelfer;1;ÖDP;BY;16;223
Maier, Mario ;1961;95;Rentner;1;REP;BE;6;
Mainka, Anne ;1978;78;Angestellte;2;MLPD;BW;15;
Mair, Katrin ;1981;61;Biochemikerin;2;CSU;BY;43;
Maisch, Heidi ;1960;85;Pädagogin, Logopädin;2;AfD;BW;20;
Maisch, Nicole Christa ;1981;76;Mitglied des Deutschen Bundestages;2;GRÜNE;HE;3;168
Maiziere de, Dr. Karl Ernst Thomas ;1954;76;MdB, Bundesminister;1;CDU;SN;1;155
Majer, Thorsten ;1978;81;Rechtsanwalt;1;SPD;BW;27;266
Majewski, Christoph ;1972;88;Diplom-Volkswirt;1;SPD;TH;5;196
Majewski, Dennis ;1983;88;Historiker;1;FDP;HE;19;170
Makarov, Nina ;1956;95;Hausfrau;2;AfD;ST;5;
Malecha-Nissen, Dr. Birgit ;1958;88;Diplom-Geologin;2;SPD;SH;8;6
Mallon, Bernd Klaus ;1955;67;Selbstständiger Kaufmann;1;Tierschutzpartei;SH;1;
Malmberg, Bernd ;1955;62;Elektroniker;1;DIE LINKE;;   ;277
Malonn, Mario Andre ;1965;31;Energieanlagenelektroniker;1;pro Deutschland;BB;1;
Mandel, Sören ;1989;94;Student;1;SPD;NI;31;
Manderla, Gisela ;1958;92;Umweltberaterin;2;CDU;NW;22;95
Manfredini, Marco Timo Ermanno ;1967;75;Geschäftsführer;1;Die PARTEI;HB;2;
Mang, Markus ;1966;52;Qualitätsprüfer;1;NPD;RP;5;249
Mang, Michael ;1981;78;Verwaltungsfachwirt;1;SPD;RP;29;
Mangold, Olaf ;1970;88;wissenschaftlicher Mitarbeiter;1;SPD;BB;9;59
Maniera, Andre ;1973;81;Jurist;1;REP;NW;1;106
Mans, Johannes Erwin ;1958;86;Diplom-Sozialpädagoge, Sozialarbeiter;1;FREIE WÄHLER;RP;6;203
Mansmann, Till Berthold ;1968;61;Diplom-Physiker;1;FDP;HE;13;188
Mansouri, Marcel Scherwien ;1985;94;Student;1;DIE LINKE;SH;2;3
Mansury, Homaira ;1978;87;Dozentin;2;SPD;BY;24;251
Mantovanelli, Marco Gerard ;1965;75;Teamleiter;1;GRÜNE;NW;32;131
Maragota Silva, Emanuel ;1989;86;Examinierter Altenpfleger;1;pro Deutschland;NI;2;
Mariacher, Vanessa ;1995;94;Schülerin;2;BP;BY;11;
Marinello, Karin ;1951;87;Fachlehrerin;2;MLPD;HE;2;
Markau, Andre ;1964;70;Kaufmann für Grundstücks- und Wohnungswirtschaft;1;NPD;;   ;77
Marks, Caren ;1963;76;Mitglied des Deutschen Bundestages;2;SPD;NI;6;43
Marks, Michael ;1971;75;Handwerksmeister;1;FREIE WÄHLER;ST;4;70
Marky, Dirk ;1966;67;Selbstständiger Kaufmann;1;PIRATEN;BY;11;237
Marquardt, Erich ;1953;95;Bank-Filialdirektor a.D.;1;FREIE WÄHLER;BW;4;289
Marsch, Lothar Volker ;1956;84;Arzt;1;REP;NW;10;
Marschner, Frank ;1957;78;Industriekaufmann;1;NPD;HE;5;185
Martens, Andre ;1970;77;Diplom-Informatiker;1;PIRATEN;BW;4;281
Martin, Dr. Jürgen ;1955;68;Pharmaberater;1;PIRATEN;BW;25;259
Martins do Canto, Fabricio ;1969;88;Betriebswirt (B.A.);1;PIRATEN;;   ;76
Martiny, Sabine ;1944;51;Malerin, Lehrerin;2;PIRATEN;;   ;137
Marvi, Parsa ;1982;77;IT-Produktmanager;1;SPD;BW;31;271
Marwitz von der, Hans-Georg ;1961;76;MdB, Landwirt;1;CDU;BB;5;59
Marx, Dirk Christian ;1965;78;Kaufmann;1;CDU;HH;6;18
Marx, Peter ;1956;76;Generalsekretär;1;NPD;SL;1;296
März, Thorsten Peter ;1972;40;Fleischer;1;NPD;;   ;94
Maskos, Wolfgang Heinrich ;1955;25;Schlosser;1;REP;NW;11;
Maßon, Norbert ;1957;31;Elektroinstallateur-Meister;1;DIE LINKE;;   ;273
Mast, Katja ;1971;76;Mitglied des Deutschen Bundestages;2;SPD;BW;2;279
Mast, Willi Alfred ;1947;84;Arzt;1;MLPD;NW;16;
Matheis, Ralf ;1969;77;Fachinformatiker;1;Anderer KWV;;   ;289
Mathes, Sophie-Marie ;1990;94;Studentin;2;PIRATEN;BW;15;
Matschke, Danny ;1975;51;Maler und Lackierer;1;NPD;BE;9;
Mattfeldt, Andreas ;1969;76;MdB, Industriekaufmann;1;CDU;NI;18;34
Mattheis, Hildegard ;1954;76;Mitglied des Deutschen Bundestages;2;SPD;BW;4;291
Matthes, Daniela ;1981;91;Hotelfachfrau;2;BüSo;BE;14;
Matthes, Marcella Giovanna ;1983;78;Personaldisponentin;2;FDP;HE;8;184
Matthiesen, Peter Heinz ;1946;95;Soldat a.D.;1;PIRATEN;;   ;6
Matthiessen, Detlef Martin ;1954;84;Tierarzt;1;GRÜNE;;   ;4
Matthiessen, Dr. Günter ;1947;95;Hochschullehrer i.R.;1;DIE LINKE;HB;2;
Matti, Lars ;1973;62;Vermessungstechniker;1;PIRATEN;RP;7;
Mattis, Manfred Günther Ernst Leopold ;1956;81;Rechtsanwalt;1;AfD;HE;6;
Matulla, Daniel Alexander ;1988;88;Politikwissenschaftler;1;CSU;BY;60;
Matys, Nico ;1979;78;Kaufmännischer Sachbearbeiter;1;Tierschutzpartei;HB;4;
Matzat, Jörg ;1972;80;Polizeibeamter;1;AfD;RP;5;
Maurer, Wolfgang ;1953;81;Rechtsanwalt;1;FREIE WÄHLER;;   ;280
Mauritz, Mario ;1960;26;Gas- und Wasserinstalateur;1;REP;NW;8;88
Maxim, Ursula ;1967;86;Diplom-Sozialpädagogin;2;DIE LINKE;BY;11;
May, Dr. Karl-Dietrich ;1948;87;Professor;1;FREIE WÄHLER;BW;12;
May, Iryna ;1990;94;Studentin;2;FREIE WÄHLER;;   ;97
May, Michael ;1949;95;Rentner;1;MLPD;SL;5;
Mayer, Dr. Norbert ;1947;95;Rentner;1;FDP;BW;29;292
Mayer, Hermann ;1952;95;Personalchef a.D.;1;AfD;BY;6;253
Mayer, Johann ;1960;62;Elektroniker;1;GRÜNE;BY;48;235
Mayer, Maximilian ;1991;94;Student;1;DIE VIOLETTEN;BY;15;
Mayer, Stephan Ernst Johann ;1973;76;MdB, Rechtsanwalt;1;CSU;;   ;213
Mayr, Thomas Johann ;1988;31;Kfz-Mechatroniker;1;BP;BY;18;
McDevitt, Dieter ;1964;77;Informatiker;1;PIRATEN;NW;20;142
Mebus, Gernot ;1960;78;Industriekaufmann;1;MLPD;RP;5;
Meenen, Uwe ;1965;68;Verlagskaufmann, Kfz-Mechaniker;1;NPD;BE;4;76
Meffert, Hildegard ;1958;85;Krankenschwester;2;BüSo;BE;18;
Meichelböck, Paul ;1960;78;Beamter;1;DIE LINKE;;   ;257
Meier, Edmund ;1959;31;Elektriker;1;MLPD;SN;6;
Meier, Karl ;1955;60;Wirtschaftsingenieur;1;FREIE WÄHLER;BY;36;235
Meier, Matin ;1976;99;Selbständig;1;Die PARTEI;BE;41;
Meier, Reiner ;1953;76;Diplom-Verwaltungswirt (FH);1;CSU;BY;36;
Meier, Stephan ;1991;94;Student;1;CSU;BY;51;
Meier, Wolfgang ;1942;2;Fischzuchtmeister;1;REP;BW;3;
Meierhofer, Horst ;1972;76;MdB, Diplom-Kaufmann (Univ.);1;FDP;BY;2;233
Meine, Henrick ;1976;69;Bankkaufmann;1;FDP;RP;15;204
Meinhardt, Patrick ;1966;76;Mitglied des Deutschen Bundestages;1;FDP;BW;9;272
Meinke, Sanna Milena ;1971;86;Diplom-Sozialarbeiterin;2;SPD;HE;26;
Meisberger, Dennis ;1988;94;Student;1;CDU;SL;13;
Meischner, Wolfgang ;1954;78;Verwaltungsbeamter;1;ÖDP;BY;17;234
Meise, Ariane Christine ;1960;81;Juristin;2;NPD;NW;3;98
Meiser, Ute Maria ;1959;60;Ingenieurin;2;GRÜNE;SL;7;
Meiser, Wolfgang ;1961;7;Bergmechaniker;1;AfD;SL;4;
Meißner, Heidi ;1980;69;Kundenbetreuerin;2;GRÜNE;SN;5;158
Meißner, Wilfried Kurt Albin ;1957;84;Arzt;1;Anderer KWV;;   ;196
Meister, Dr. Michael Günther ;1961;61;Diplom-Mathematiker;1;CDU;HE;3;188
Meister, Roland Matthäus ;1953;81;Rechtsanwalt;1;MLPD;NW;7;
Meister, Thomas ;1974;60;Selbständiger Diplom-Ingenieur Elektrotechnik;1;AfD;;   ;23
Meiwald, Peter ;1966;86;Diplom-Sozialpädagoge;1;GRÜNE;NI;6;27
Meixner, Andre ;1965;99;Selbstständig;1;AfD;BB;7;
Meixner, Norbert ;1945;88;Betriebswirt;1;DIE LINKE;;   ;2
Melter, Michael ;1959;88;Politikwissenschaftler;1;PIRATEN;BE;10;
Memenga, Bernd ;1973;67;Handelsfachwirt;1;CDU;NI;41;
Mendelsohn, Peter ;1972;77;DV-Systemberater;1;Die PARTEI;;   ;275
Mengel, Dr. Thomas ;1959;61;Diplom-Chemiker;1;SPD;BW;30;282
Menz, Brigit ;1962;67;Buchhändlerin;2;DIE LINKE;HB;3;
Menzel, Jürgen ;1963;76;Parlamentarischer Berater;1;GRÜNE;BW;20;261
Menzner, Dorothee ;1965;60;Diplom-Ingenieurin;2;DIE LINKE;;   ;49
Meppen, Lübbo ;1956;1;Landwirt;1;FDP;NI;15;26
Meral, Derya ;1989;85;Rettungssanitäterin;2;MLPD;BW;4;
Mergen, Moritz ;1988;94;Student;1;FDP;RP;21;
Meridies, Jochen ;1931;62;Maschinenbautechniker;1;REP;NI;6;
Merk, Christoph ;1973;50;Schreinermeister;1;ÖDP;;   ;287
Merk, Monika Manuela Carmen ;1963;78;Kauffrau;2;DIE LINKE;BE;9;78
Merkel, Dr. Angela Dorothea ;1954;76;Mitglied des Deutschen Bundestages;2;CDU;MV;1;15
Merkert, Johannes ;1984;94;Student;1;PIRATEN;RP;10;210
Merkl-Zierer, Bettina ;1959;5;Diplom-Ingenieurin Landespflege (FH);2;GRÜNE;BY;39;254
Merl, Harald ;1970;75;Logistiker;1;NPD;;   ;234
Mert, Mustafa ;1969;98;Keine Angabe;1;BIG;BE;3;
Mert, Yasar ;1973;75;Unternehmensberater;1;BIG;BW;3;
Mertel, Dr. Robert ;1940;60;Diplom-Ingenieur Maschinenwesen;1;Anderer KWV;;   ;221
Merten, Ingo Friedrich ;1973;77;Informatiker;1;Die PARTEI;HH;5;
Merz, Engelbert ;1965;60;Bauleiter;1;Anderer KWV;;   ;156
Messinger, Jessica ;1988;94;Studentin;2;GRÜNE;BW;29;
Meßmer, Ullrich Karl Wolfgang ;1954;76;Gewerkschaftssekretär;1;SPD;HE;21;167
Metterhausen, Carlo ;1991;94;Student;1;Die PARTEI;;   ;96
Metz, Dr. Horst Georg ;1973;60;Diplom-Ingenieur;1;AfD;SN;2;
Metzger, Anette Sabine ;1964;87;Tanzlehrerin;2;FAMILIE;;   ;210
Metzler, Jan ;1981;1;Winzer, Diplom-Betriebswirt (FH);1;CDU;RP;11;207
Metzner, Helmut ;1968;88;Berater;1;FDP;BE;4;83
Meurer, Klaus ;1961;78;Angestellter;1;GRÜNE;;   ;199
Meusel, Stephan Hans-Willy ;1952;75;Selbständiger Personalmanager;1;AfD;TH;4;
Meusel, Torsten ;1964;62;Sicherungsaufsicht;1;pro Deutschland;BB;6;
Meuser, Andre ;1978;81;Datenschutzberater;1;PARTEI DER VERNUNFT;RP;2;
Meyenburg, Lorenz Volker ;1983;88;Doktorand der VWL;1;AfD;NW;39;
Meyer, Barbara ;1984;88;Wissenschaftliche Mitarbeiterin;2;GRÜNE;SL;3;296
Meyer, Barbara ;1978;86;Erzieherin;2;MLPD;HE;4;
Meyer, Bert ;1975;76;Diplom-Verwaltungswirt (FH);1;GRÜNE;SN;12;164
Meyer, Christian ;1962;54;Kraftwerksbauer;1;FDP;;   ;266
Meyer, Dr. Jürgen ;1957;60;Ingenieur;1;FREIE WÄHLER;BW;20;
Meyer, Gerd ;1947;95;Rentner;1;REP;BY;38;
Meyer, Hans-Jakob ;1964;3;Diplom-Ingenieur Agrar (FH);1;CDU;RP;31;
Meyer, Heike ;1962;75;Verkaufleiterin;2;CDU;HE;23;
Meyer, Ingo ;1978;94;Student;1;Anderer KWV;;   ;142
Meyer, Jens Gerd ;1957;81;Rechtsanwalt Notar;1;SPD;SH;15;
Meyer, Leona ;1987;94;Studentin;2;BüSo;BW;2;
Meyer, Maria ;1954;86;Sozialpädagogin;2;MLPD;SH;1;
